Reason,Path,Title,PageViews,Freshness (report),LastReviewed (file)
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-content-lifecycle-management-retire-archive.md,Power BI implementation planning: Retire and archive content - Power BI,186.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-self-service-real-time-analytics.md,Power BI usage scenarios: Self-service real-time analytics - Power BI,182.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-data-loss-prevention.md,Power BI implementation planning: Data loss prevention for Power BI - Power BI,176.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-community-of-practice.md,Microsoft Fabric adoption roadmap: Community of practice - Power BI,176.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-view-hierarchies.md,View hierarchies in Power BI Scorecards - Power BI,172.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-business-alignment.md,Microsoft Fabric adoption roadmap: Business alignment - Power BI,171.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-subscriptions.md,Create email subscriptions for your scorecards in Power BI (preview) - Power BI,167.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/create-reports/service-goals-linked-goals.md,Create linked goals in the Power BI service - Power BI,165.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/consumer/end-user-related.md,"See related content from dashboards, reports, and semantic models - Power BI",162.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/create-reports/service-goals-check-in.md,Stay on top of your goals in Power BI - Power BI,155.0,271-365 days,2024-12-11
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-requirements.md,Gather requirements to migrate to Power BI - Power BI,155.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-personal-bi.md,Power BI usage scenarios: Personal BI - Power BI,153.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-executive-sponsorship.md,Microsoft Fabric adoption roadmap: Executive sponsorship - Power BI,147.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-auditing-monitoring-data-level-auditing.md,Power BI implementation planning: Data-level auditing - Power BI,147.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-change-management.md,Microsoft Fabric adoption roadmap: Change management - Power BI,144.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-team-bi.md,Power BI usage scenarios: Team BI - Power BI,142.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-subgoals.md,Create subgoals in the Power BI service - Power BI,140.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-user-tools-devices.md,Power BI implementation planning: User tools and devices - Power BI,138.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-prototyping-and-sharing.md,Power BI usage scenarios: Prototyping and sharing - Power BI,132.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-pre-migration-steps.md,Prepare to migrate to Power BI - Power BI,131.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-status-rules.md,Automate status rules for goals in Power BI - Power BI,128.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-security-content-creator-planning.md,Power BI implementation planning: Content creator security planning - Power BI,126.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-auditing-monitoring-report-level-auditing.md,Power BI implementation planning: Report-level auditing - Power BI,124.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-bi-strategy-bi-tactical-planning.md,Power BI implementation planning: BI tactical planning - Power BI,123.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-auditing-monitoring-tenant-level-monitoring.md,Power BI implementation planning: Tenant-level monitoring - Power BI,117.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/total-subtotal-api.md,Introduction to the total and subtotal API in Power BI visual - Power BI,115.0,271-365 days,2024-11-22
fresh-at-runtime,powerbi-docs/developer/visuals/power-bi-custom-visuals-troubleshoot.md,Troubleshooting Power BI developer environment setup - Power BI,112.0,271-365 days,2024-12-21
fresh-at-runtime,powerbi-docs/create-reports/service-goals-move.md,"Arrange columns, goals, and scorecards - Power BI",111.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/create-reports/service-goals-custom-status.md,Customize statuses on your scorecard - Power BI,100.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-hierarchies-scenarios.md,Scenarios: When to use hierarchies in Power BI scorecards - Power BI,100.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/guidance/migrate-azure-analysis-services-to-powerbi-premium-migration-scenarios.md,Migrate from Azure Analysis Services to Power BI Premium: Migration scenarios - Power BI,98.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-proof-of-concept.md,Conduct proof of concept to migrate to Power BI - Power BI,97.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-set-permissions.md,Protect your scorecards with goal-level permissions - Power BI,96.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-info-protection.md,Power BI implementation planning: Information protection for Power BI - Power BI,94.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-create-validate-content.md,Create content to migrate to Power BI - Power BI,93.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/advanced-edit-mode.md,Advanced edit mode in Power BI visuals - Power BI,90.0,271-365 days,2025-02-05
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-user-support.md,Microsoft Fabric adoption roadmap: User support - Power BI,89.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-info-protection-data-loss-prevention-overview.md,Power BI implementation planning: Information protection and data loss prevention - Power BI,88.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-conclusion.md,Microsoft Fabric adoption roadmap conclusion - Power BI,83.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/report-paginated-image.md,Image use guidance for paginated reports - Power BI,82.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-planning.md,Plan deployment to migrate to Power BI - Power BI,82.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-dropdown.md,Dropdown formatting slice - Power BI,77.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/guidance/retire-unused-reports-ssrs.md,Find and retire unused .rdl reports - Power BI,69.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-learn-from-customers.md,Learn from customer Power BI migrations - Power BI,69.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-defender-for-cloud-apps.md,Power BI implementation planning: Defender for Cloud Apps for Power BI - Power BI,69.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/embedded/embed-azure-analysis-services.md,Embed a Power BI report with an Azure Analysis Services (AAS) database - Power BI,64.0,271-365 days,2025-01-12
fresh-at-runtime,powerbi-docs/consumer/mobile/mobile-apps-dark-mode.md,Dark mode in Power BI Mobile - Power BI,58.0,271-365 days,2024-11-29
fresh-at-runtime,powerbi-docs/create-reports/service-goals-follow.md,Follow your goals in Power BI - Power BI,51.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-auditing-info-protection-data-loss-prevention.md,Power BI implementation planning: Auditing of information protection and data loss prevention for Power BI - Power BI,44.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-container.md,Formatting settings container - Power BI,39.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-card.md,Formatting settings card - Power BI,38.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-group.md,Formatting settings group - Power BI,33.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-colorpicker.md,ColorPicker formatting slice - Power BI,28.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-slider.md,Slider formatting slice - Power BI,24.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-fontcontrol.md,FontControl formatting slice - Power BI,22.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-toggleswitch.md,ToggleSwitch formatting slice - Power BI,20.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-organization-level-info-protection.md,Power BI implementation planning: Organization-level information protection - Power BI,17.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/utils-type.md,Introduction to use type utils in Power BI visual - Power BI,17.0,271-365 days,2025-01-04
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-textinput.md,TextInput formatting slice - Power BI,17.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-fontpicker.md,FontPicker formatting slice - Power BI,14.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-numupdown.md,NumUpDown formatting slice - Power BI,13.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-alignmentgroup.md,AlignmentGroup formatting slice - Power BI,11.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-marginpadding.md,MarginPadding formatting slice - Power BI,11.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-flagselection.md,FlagsSelection formatting slice - Power BI,8.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/developer/visuals/formatting-model-textarea.md,TextArea formatting slice - Power BI,4.0,271-365 days,2024-12-12
